"","SESSION_ID","MC","SDC","NC","MI","SDI","NI","SDPooled","StroopEffect"
"1",667736,665.761904761905,246.918995778353,21,784.047619047619,194.983170303259,42,213.40854816739,0.55426886739764
"2",668587,667.714285714286,333.066966833405,14,874.925465838509,408.930553807843,28,385.914180834216,0.536935905481118
"3",673719,589.547619047619,274.930244399765,21,556.113553113553,265.749679519554,42,268.794252611909,-0.124385345330798
"4",674887,546.461538461538,89.6424521684298,13,642.261083743842,240.639851232932,29,207.23418484945,0.462276749137213
"5",674964,574.52380952381,95.7463414693319,21,638.846428571429,156.718347698112,42,139.691316533671,0.460462544442516
"6",675118,520.6,79.1642054755268,15,685.925925925926,356.712653797027,27,291.379454142354,0.567390471687669
"7",675119,551.857142857143,95.7881132362604,14,1009,1597.40938420329,28,1313.5413175295,0.34802320341369
"8",675120,616.538461538462,203.030217531207,13,652.118226600985,237.719302061982,29,227.867740960005,0.156142176653117
"9",675163,628.066666666667,208.073636233037,15,892.875,391.881259406927,27,339.078489868742,0.780964706536947
"10",675165,577.928571428571,198.419636227911,15,593.083333333333,257.531016304783,27,238.514295268898,0.063538170270577
"11",675171,576.021428571429,218.742324763309,21,569.146428571429,180.798234175105,42,194.058135347667,-0.0354275278780918
"12",675174,549.928571428571,157.127808969795,14,612.214285714286,180.86445858972,28,173.506602385698,0.358981810659031
"13",675175,520.241758241758,175.469215184885,14,576.835978835979,207.355427159849,28,197.557723644899,0.286469288823889
"14",675181,466.666666666667,97.0929108294387,21,583.321428571429,259.242883841196,42,219.687649069733,0.531002823320912
"15",675187,591,265.604405083952,21,589.651567944251,175.183811732879,42,209.181781626228,-0.00644622129740959
"16",675189,579.153846153846,144.771570732336,13,689.827586206897,190.743295887715,29,178.201419062723,0.621059813300901
"17",675194,530.857142857143,85.1269252739309,14,601.664835164835,298.623847813102,28,250.098139803092,0.28311962801259
"18",675197,697.621428571429,340.495087545852,21,924.685714285714,395.898593287786,42,378.62784262179,0.599703086128031
"19",675204,579.871428571429,265.798922388442,21,603.04181184669,266.338137016407,42,266.161465700721,0.0870538611374898
"20",675205,449.933333333333,94.4256825435195,15,576.148148148148,384.464433055777,27,314.95882035358,0.400734339407048
"21",675206,634,284.124295660571,14,599.785714285714,123.39828834363,28,191.087592106716,-0.179050273945459
"22",675210,474.785714285714,179.436802061522,14,494.94708994709,150.011061059287,28,160.168501509071,0.125876033498595
"23",675215,662,221.74899184577,14,692.724867724868,199.372579448675,28,206.9105172999,0.148493503983341
"24",675216,733.511278195489,279.117626860183,21,750.1393728223,342.8193612862,42,323.319430078945,0.051429308231648
"25",675217,531.714285714286,115.542485407169,14,597.785714285714,255.497967976678,28,220.00508922685,0.300317728119923
"26",675218,572.472527472528,187.675003706037,14,568.928571428571,220.491526430186,28,210.388369946609,-0.0168448286607071
"27",675220,509.333333333333,247.8322205118,15,510.851851851852,121.522300487069,27,176.341340922991,0.00861124515992921
"28",675223,530.066666666667,87.0447066304491,15,658.91452991453,189.495504830813,27,161.221674912334,0.799196902760905
"29",675224,563.866666666667,129.728764662863,15,654.962962962963,337.030982538524,27,282.353975370292,0.322631534324347
"30",675225,556.066666666667,96.641803042152,15,842.684444444444,394.461620764822,27,323.123589358623,0.887022140186959
"31",675234,654.714285714286,363.455515968477,14,552.107142857143,169.679510381738,28,249.732834030404,-0.410867650845827
"32",675236,470.923076923077,93.1973368167974,13,717.189655172414,510.402964294479,29,430.073892778133,0.572614572483202
"33",675237,526.714285714286,120.825639517592,14,585.821428571429,235.163308672998,28,205.117829812873,0.288161896559971
"34",675241,468.4,54.8436739417462,15,539.925925925926,175.483272471706,27,145.151942103081,0.492765889932985
"35",675243,644.428571428571,87.9647781660489,14,726.571428571429,263.213675848044,28,221.990443809767,0.370028798236238
"36",675247,589.971428571429,270.235262582175,21,633.164835164835,259.077229777167,42,262.787809227895,0.164366097195736
"37",675248,582.5,227.367459277843,14,552.835978835979,139.276088142219,28,172.900901939621,-0.171566607410644
"38",675249,560.47619047619,91.2883448462174,21,567.700348432056,129.525449297838,42,118.35773508651,0.0610366356756065
"39",675258,453.214285714286,92.4205925866413,14,618.5,611.012971917824,28,504.755766612499,0.327456812222225
"40",675260,815.785714285714,303.54043668562,14,1120.00595238095,703.388219886273,28,603.244623468828,0.504306588504487
"41",675261,538.928571428571,79.7085694511954,14,617.25,203.355486042801,28,173.142872981494,0.452351443768638
"42",675262,543.461538461538,177.979687691515,13,534.51724137931,115.703321562908,29,137.383084125061,-0.0651047917521348
"43",675266,712,271.564413665029,14,629,105.532512104617,28,177.441257885532,-0.467760435138165
"44",675388,532.066666666667,85.3149347725127,15,590.666666666667,188.678807256386,27,160.272653105055,0.36562694174401
"45",675392,542.095238095238,106.591699846613,21,576.1393728223,180.993578472518,42,160.447197938414,0.212182793869227
"46",675414,575.5,65.9950464341541,14,564,170.666232638337,28,145.176401319223,-0.0792139762075594
"47",675425,823.214285714286,470.313345395538,14,817.241758241758,232.737459973089,28,329.318688338532,-0.0181360113592697
"48",675451,581.321428571429,192.322761634855,21,718.29304029304,266.407478681772,42,244.60244176153,0.559976469307486
"49",675456,499.318681318681,170.622152285043,14,493.613756613757,164.745250166671,28,166.677973670179,-0.0342272261853482
"50",675464,510.642857142857,77.2245548263755,14,557.798941798942,192.013035190144,28,163.782658401681,0.287918666825111
"51",675469,543.642857142857,90.1636180617106,14,685.925714285714,235.623166996365,28,200.29207975925,0.710376852214429
"52",675482,852,359.523402469265,14,788.5,168.025901883322,28,247.114598921229,-0.256965797557923
"53",675515,531.142857142857,106.613922971761,21,574.480836236934,278.002413152053,42,235.950452630247,0.183674066359986
"54",675528,677.380952380952,436.348309976156,21,742.714285714286,332.996322085767,42,370.076321853854,0.176540160705374
"55",675554,705.538461538462,258.553223207078,13,893.275862068965,456.14995157856,29,407.069865743974,0.461192086000739
"56",675556,562.563909774436,270.315482631639,21,503.571428571429,133.724533542204,42,189.67536929383,-0.311018143381711
"57",675569,702.8,373.204884365526,15,682.925925925926,268.043326854494,27,308.948792352869,-0.0643280523051036
"58",675570,504.857142857143,171.672701625845,14,567.354497354497,229.10604927548,28,212.152564401212,0.294586844489716
"59",675585,635.142857142857,133.42924206246,14,721.107142857143,270.439469408141,28,234.848695592351,0.366041146183338
"60",675602,468.472527472527,179.077291265057,14,503.57671957672,325.376264502901,28,286.154462474336,0.122675675929186
"61",675603,481,76.3581785309958,15,585.851851851852,360.998370303556,27,294.531127701615,0.355995825195344
"62",675610,484.857142857143,102.740043232989,14,504.280423280423,178.786471498127,28,158.134909083666,0.122827277897279
"63",675614,553.571428571429,70.1840594280653,14,594.071428571429,121.70788603788,28,107.70112414853,0.376040643216932
"64",675616,586.428571428571,413.980065347952,14,600.502645502645,229.581802494974,28,302.119352970235,0.0465844837005877
"65",675618,569.774436090226,245.09273678357,21,580.642857142857,195.506199942682,42,213.039619009802,0.0510159617405788
"66",675673,569.384615384615,198.955413121273,13,491.379310344828,100.616816896404,29,137.701116962544,-0.566482732750862
"67",675678,480.857142857143,62.5876089270775,14,529.928571428571,131.207759642775,28,113.549721645252,0.432158070142485
"68",675689,513.428571428571,139.159407369177,14,544,214.400283305507,28,193.188472001529,0.158246650303164
"69",675713,547.142857142857,46.7922694845685,14,665.107142857143,316.931274158425,28,261.748466703109,0.450678039111832
"70",675724,510.761904761905,154.249766535287,21,529.095238095238,111.071897067776,42,126.858345459203,0.144518149491626
"71",675762,784,282.471509795508,14,821.857142857143,184.156679324109,28,220.960484508624,0.171329923272618
"72",675771,572.666666666667,256.227698216515,21,636.29304029304,281.513883580896,42,273.481062948184,0.232653672398622
"73",675778,508.384615384615,78.4883626846877,13,627.939655172414,225.101838611561,29,193.177931828381,0.618885597626187
"74",675783,654.307692307692,136.707342289642,13,660.931034482759,104.200332819075,29,114.921998688212,0.0576333709008642
"75",675784,661.190476190476,246.093807123954,21,890.985347985348,389.415243348264,42,348.971715231458,0.658491395620584
"76",675785,755.307692307692,258.170933238486,13,972.120051085568,481.924787136044,29,427.284120404742,0.507419649886595
"77",675887,493.357142857143,80.5658900364331,14,580.214285714286,307.600433119049,28,256.859296530777,0.338150668596632
"78",675897,553.785714285714,94.9746351331834,14,737.31746031746,366.317587560178,28,305.792163117058,0.600184596495004
"79",675904,559.6,202.328163423399,15,511.296296296296,100.177463615946,27,144.398513637574,-0.334516626846597
"80",675911,637.142857142857,119.613388202837,14,760.357142857143,340.525216805486,28,287.960333329833,0.427886314373566
"81",675914,655.428571428571,489.802898236504,14,562.107142857143,113.668569317968,28,294.433528455187,-0.316952451241069
"82",675921,497.380952380952,45.1170435539345,21,619.142857142857,231.594533343437,42,191.618990778195,0.635437564238337
"83",675922,574.987179487179,193.143590577572,13,650.068965517241,197.521414939256,29,196.218323624689,0.382644111126301
"84",675933,670.153846153846,352.908355940048,13,612.137931034483,169.071566448297,29,239.526467252763,-0.242210874584233
"85",675954,657.238095238095,169.267216188459,21,766.846428571429,372.41997866015,42,320.337682234921,0.342164969692675
"86",675955,620.380952380952,395.94689999929,21,688.353383458647,274.736035560105,42,319.583602316052,0.212690609233677
"87",675968,579.428571428571,185.994508367471,21,661.321428571429,247.570526325786,42,229.211654231623,0.357280511836901
"88",675970,567.952380952381,189.473342766331,21,535.761904761905,100.842502054806,42,136.402284211714,-0.235996606482867
"89",675971,614.428571428571,140.597469222061,14,655.321428571429,153.894637735723,28,149.702666619059,0.273160512543942
"90",675982,572,346.579328248571,14,587.243386243386,188.575844965178,28,251.081009398209,0.0607110282052856
"91",675985,609.142857142857,154.530483496527,14,687.502645502645,512.097600253105,28,429.855278648536,0.182293418859834
"92",675986,502.071428571429,100.473849859028,14,620.845714285714,221.641174330787,28,190.892954483471,0.622203611629732
"93",675988,555.285714285714,275.300515121882,14,594.285714285714,106.169625684512,28,179.556298373837,0.217202071735751
"94",675994,660.2,383.567874418224,15,700.703703703704,171.955901058475,27,265.919632108539,0.152315582653828
"95",679635,511.642857142857,73.6035190869161,14,663.214285714286,193.514925664731,28,164.432655559307,0.921784228661078
"96",679647,521.428571428571,186.337142331433,15,584.37037037037,292.795169693783,27,260.530983035978,0.241590455800441
"97",679652,539.733333333333,303.578059311338,15,589.760683760684,265.563054094874,27,279.457155103357,0.179016173011737
"98",679667,546.133333333333,142.812497785766,15,641.952991452991,263.6136291308,27,228.710051997317,0.418956916335196
"99",679671,516.952380952381,73.2348797981373,21,597.333333333333,204.927312118303,42,173.161077561331,0.464197575534736
"100",679681,592.571428571429,227.066481042858,14,583.678571428571,93.2734147234886,28,150.430011609576,-0.0591162431465971
"101",679687,638.047619047619,155.543394649363,21,666.404761904762,270.646656472416,42,239.093543372538,0.118602712800817
"102",679702,565.857142857143,154.199599492075,14,585.724867724868,157.12279778621,28,156.178759844145,0.127211439555234
"103",679712,572.821428571429,148.626190972039,21,587.407665505227,217.935600337463,42,197.904093949885,0.0737035633911224
"104",679729,608.692307692308,254.812148001681,13,586.206896551724,122.999239054076,29,173.403973992197,-0.129670679528921
"105",679819,531.47619047619,147.21841564411,21,569.529616724739,198.489056797584,42,183.266328214889,0.207640031964457
"106",679828,646.142857142857,197.558893708981,14,657.984126984127,181.867220980086,28,187.111413207161,0.0632845941266008
"107",679833,510.666666666667,66.9562045917578,21,543.619047619048,157.206862690913,42,134.465339030058,0.245062268017001
"108",679835,512.371428571429,153.862331786754,21,534.97619047619,185.601525447794,42,175.827659615962,0.128562035996695
"109",679844,628.428571428571,344.330447597736,21,565.928571428571,93.6533287877765,42,211.585657907899,-0.29538864126228
"110",679852,595.380952380952,69.0517749159833,21,739.871428571429,213.920927134776,42,179.781818501917,0.803699046958607
"111",679860,605.380952380952,256.27455515335,21,649.163763066202,191.078643091451,42,214.647477447666,0.203975426153911
"112",679867,625.52380952381,257.750192831668,21,615.700348432056,230.365061430769,42,239.688792790224,-0.0409842320009984
"113",679888,537.5,111.589046884609,14,659.021164021164,254.220768424945,28,218.336831275748,0.556576567091831
"114",679889,529.692307692308,232.03213589482,15,501.407407407407,268.883626423039,27,256.588351632985,-0.110234545352075
"115",679960,501.221428571429,156.2887860432,21,567.846428571429,240.802026808294,42,216.754524356563,0.307375360204252
"116",679979,490.428571428571,71.5336084848034,21,505.452380952381,150.272306064033,42,129.829241421881,0.115719766666352
"117",679993,486.071428571429,160.360865372001,21,499.246428571429,153.988363570052,42,156.106374176547,0.0843975786991241
"118",680013,628.285714285714,157.147428504937,21,722.357142857143,269.094943932758,42,238.258776817726,0.394828806845573
"119",680016,599.821428571429,171.212863543769,21,676.846428571429,212.441570774252,42,199.863279234623,0.385388453021323
"120",680020,479.714285714286,82.7358101774213,21,569.196428571429,257.567782256333,42,216.41232451907,0.413479884086999
"121",680023,632.2,160.03892383685,15,603.074074074074,132.566072329098,27,142.784124804883,-0.203985743973479
"122",680026,534.928571428571,231.766946699519,14,557.357142857143,195.409534678803,28,207.924196351871,0.107868982167979
"123",680027,682,114.092068085384,21,759.285714285714,288.429666424707,42,245.32342557973,0.315036014612459
"124",680029,605.671428571429,290.467635276044,21,513.190476190476,98.5324604419443,42,184.90065649227,-0.500165624803061
"125",680069,728.333333333333,451.057682933495,21,661.904761904762,110.604946196419,42,273.730520999146,-0.242678716228282
"126",680074,601.421428571429,193.415574974864,21,552.261324041812,190.193453956134,42,191.255868436504,-0.25703841106417
"127",680077,529.571428571429,161.218662514168,21,593.050193050193,254.501856259318,42,228.158994436334,0.278221617497871
"128",680114,564.380952380952,88.8951495811083,21,625.619047619048,207.986039913911,42,177.949746873037,0.344131398409839
"129",680116,534.461538461538,287.590453997989,13,558.332512315271,147.69184079746,29,200.20363796877,0.119233466963553
"130",680118,459.153846153846,88.4023436282905,13,566.896551724138,276.245665102069,29,236.141185626463,0.456263930768618
"131",680119,675.714285714286,193.000037009619,21,871.554006968641,435.896738169216,42,374.06111769233,0.52355006171862
"132",680121,684.666666666667,571.10422282919,21,699.94425087108,262.337419615011,42,391.400563290837,0.0390331175713237
"133",680164,532.087912087912,193.661485384643,14,591.391534391534,253.054658135193,28,235.401350998876,0.251925581786085
"134",680170,645.5,442.220054863048,14,551.873015873016,152.884793688233,28,281.662609508678,-0.332408281987814
"135",680190,632.403846153846,315.107381473323,13,531.137931034483,131.199881352824,29,204.541401101559,-0.495087618320766
"136",680202,557.241758241758,167.581160867203,14,661.31746031746,322.455367213506,28,281.623699065718,0.369555908898902
"137",680206,695.428571428571,182.516053787358,14,703.57671957672,188.640189008782,28,186.671884139102,0.043649573612684
"138",680209,583.238095238095,167.346318980103,21,668.754578754579,246.281750836597,42,223.494546166067,0.382633424320524
"139",680214,503.333333333333,70.6373366806347,21,572.785714285714,215.74098468735,42,181.437960227173,0.382788589914821
"140",680362,454.071428571429,93.5385270568018,14,621.857142857143,277.651755540096,28,234.264079467108,0.716224675449112
"141",680366,710.357142857143,402.588854433758,14,935.245714285714,397.865074574456,28,399.406431112827,0.563056961306272
"142",680367,612.666666666667,134.378286227812,15,727.683760683761,257.590994243941,27,222.372798557876,0.517226453788408
"143",680371,509.071428571429,171.269399318317,21,667.320463320463,334.938795038002,42,291.581554998586,0.542726492935406
"144",680375,518.928571428571,77.2353688267376,14,633.798941798942,207.382198014444,28,175.979265966944,0.6527494573818
"145",680377,565.047619047619,110.024759118335,21,643.407665505227,282.199763256909,42,239.781796778758,0.326797311181669
"146",680383,522.52380952381,101.32404406044,21,577.271428571429,189.914145282539,42,166.156844913568,0.329493612352219
"147",680385,787.928571428571,764.973349388542,14,737.687830687831,384.111868462342,28,538.308159210398,-0.0933308178245617
"148",680442,751.936507936508,708.042067847151,21,734.785714285714,367.328425899586,42,505.033815914616,-0.0339596936092953
"149",680458,469.866666666667,83.8347581058517,15,475.888888888889,74.1953416189232,27,77.705276526115,0.0775008145064423
"150",680465,816.153846153846,329.088348358979,13,1391.84392014519,634.186589178374,29,560.37896394608,1.02732277803122
"151",680469,506.285714285714,78.3899802971592,14,564.678571428571,170.478206182106,28,147.018788279399,0.397179556614801
"152",680471,538.52380952381,263.608728809882,21,572.261324041812,220.253376654625,42,235.34992381884,0.143350437385192
"153",680476,629,202.480388414058,14,615.571428571429,112.761770699191,28,148.010882804513,-0.0907269193597564
"154",680501,475.857142857143,69.241891658443,14,509.502645502646,147.495726114441,28,127.447285502715,0.263995443392836
"155",680507,619.619047619048,313.366474944349,21,642.546428571429,221.312341952157,42,255.179660692363,0.0898479952915274
"156",680541,598.285714285714,101.521496668017,21,681.505226480836,194.158320853257,42,169.460468891527,0.491085105213485
"157",680553,611.010989010989,306.387563338859,14,554.821428571429,307.021540271161,28,306.8156414582,-0.183137861461394
"158",680554,577.25,277.555753729897,15,993.377777777778,803.877216673777,27,668.584396629675,0.622401270319009
"159",680558,605.857142857143,225.285752611368,14,648.395604395604,181.736061171128,28,196.948826119604,0.215987382999828
"160",680565,763.214285714286,446.527314794003,14,1072.68783068783,747.760657943239,28,664.999406004827,0.465374167524142
"161",680566,672.58041958042,248.57979118869,13,641.045977011494,248.389586535964,29,248.446663221463,-0.126926408107224
"162",680742,868.571428571429,561.417945821212,14,817.285714285714,343.644503773223,28,426.788681400326,-0.120166528590782
"163",680743,488.421428571429,150.804789853828,21,615.831501831502,261.226848301555,42,230.916201182191,0.551758917770987
"164",680751,540.952380952381,193.701697512045,21,572.071428571429,209.009527482355,42,204.117100676172,0.152456837354443
"165",680754,472.021428571429,156.165632079716,21,534.738095238095,229.59753329216,42,208.392371556708,0.300954714408057
"166",680755,505.857142857143,216.227749284035,14,563.873015873016,228.805555796435,28,224.794975371739,0.258083495504885
"167",680756,611.857142857143,307.307377353399,14,760.626373626374,313.326243652419,28,311.382873575353,0.47776947094436
"168",680757,540.78021978022,177.244862649352,14,499.214285714286,130.002950719463,28,147.031064034811,-0.282701715714258
"169",680861,487.371428571429,196.750392992891,21,471.696428571429,161.992070019273,42,174.154303334782,-0.0900063891609239
"170",680871,521.403846153846,189.862218092422,13,571.008939974457,270.529053356732,29,249.087287220273,0.199147432910714
"171",680885,832.928571428571,428.176359115604,14,1125.28021978022,625.398710593528,28,568.851709659396,0.513932969502185
"172",680890,542.857142857143,150.26226157205,14,645.021164021164,223.818823527504,28,202.859870966826,0.503618683562745
"173",680896,462,66.3664071650711,13,707.189655172414,320.961457793864,29,270.984741585968,0.904809819687317
"174",680915,536.4,296.612445553356,15,500.577777777778,296.137849051798,27,296.304044296845,-0.120896838607895
"175",680924,1425.35714285714,875.62369922094,14,1337.17261904762,430.446179911851,28,611.75944796351,-0.144149018217997
"176",680928,789.384615384615,483.384170624418,13,867.231162196679,405.886958004742,29,430.603103562802,0.18078491810199
"177",680935,707,292.119324934178,21,794.166666666667,438.092367845215,42,396.203206542195,0.220004950054294
"178",680938,566.214285714286,97.8823301186202,14,619.785714285714,218.17277508516,28,187.732194324027,0.285360903409907
"179",680943,597.5,265.654127362282,14,641.178571428571,176.622647256261,28,209.744940769906,0.208246126310563
"180",681010,515.071428571429,150.080216646204,14,520.785714285714,78.6107886021765,28,107.198838946271,0.0533054813881876
"181",681022,485.714285714286,73.8675455509,21,680.575091575092,294.762535275888,42,245.330534011062,0.794278652049156
"182",681040,474.928571428571,66.6211612093269,14,645.164835164835,314.086504186875,28,260.828386856396,0.652675369379907
"183",681041,622.5,82.5504507745229,14,669.391534391534,156.730225890295,28,137.097348634631,0.34203093537937
"184",681048,905.321428571429,356.931568571424,21,1153.77443609023,411.618221910594,42,394.524301186315,0.629753368225256
"185",681050,497.714285714286,67.7352635933893,14,630.085714285714,260.392987494878,28,217.391730030639,0.608907379102104
"186",681055,716.47619047619,376.010853440113,21,765.996138996139,303.76954385767,42,329.206612210017,0.150422095678799
"187",681056,473.4,85.7428047793433,15,580.964444444444,245.968799355549,27,204.691383958062,0.525495711468162
"188",681058,622.714285714286,92.0964616136703,14,729.035714285714,285.375838233756,28,240.266821545785,0.442513984608432
"189",681060,552.142857142857,148.45297475728,14,627.169312169312,272.973071682907,28,239.707308848404,0.312991937487828
"190",681100,516,111.263650847885,21,643.677655677656,248.072711923628,42,213.124103245914,0.599076564936131
"191",681108,494.241758241758,185.923638421136,14,539.130952380952,233.562074199578,28,219.218061460948,0.204769597176603
"192",681114,1231,765.497123543809,14,1462.3544973545,884.214376322903,28,847.457413516967,0.272998375687542
"193",681115,576.642857142857,101.968778889089,14,703.678571428571,523.458446019352,28,433.975959052704,0.292725234280285
"194",681116,585.533333333333,251.65590642402,15,604.62962962963,145.653738009058,27,189.619357505347,0.100708580323915
"195",681122,526.142857142857,303.23961697991,15,475.884444444444,193.002473745273,27,237.479395998494,-0.211632729176772
"196",681133,624.307692307692,258.606323915775,13,588.118226600985,129.621297858609,29,178.393794263574,-0.202862806164869
"197",681135,501.230769230769,69.9489740765293,13,601.796798029557,194.193468099285,29,166.930014763694,0.602444257500057
"198",681140,827.571428571429,802.614638006844,21,778.404761904762,239.129831000509,42,499.6443204085,-0.0984033334482195
"199",681143,672.703296703297,329.441883119525,14,590.687830687831,151.155309181091,28,225.156026397332,-0.364260585549389
"200",681146,496.133333333333,128.800990827304,15,490.777777777778,113.744766010889,27,119.230910421753,-0.0449175095334882
"201",681149,543.285714285714,58.2678544065496,14,631.107142857143,273.822372714396,28,227.407208313319,0.386185773189869
"202",681152,688,199.253607244637,14,743.5,401.778776424521,28,349.092860138961,0.158983486450876
"203",681154,650.285714285714,157.765377335188,21,684.188153310105,180.522695092691,42,173.390701950634,0.195526280492494
"204",681157,711.971428571429,329.531481262196,21,703.114982578397,252.921195492647,42,280.355579815762,-0.031590047178128
"205",681159,710.846153846154,213.619929685819,13,881.799734748011,564.042519213299,29,486.200387437147,0.351611362966996
"206",681163,679.371428571429,245.603984379035,21,752.221428571429,268.151094362237,42,260.973327214803,0.279147301287378
"207",681175,570.928571428571,142.829357187958,14,737.395604395604,298.423877638521,28,258.347480086478,0.64435322888116
"208",681181,867.238095238095,604.307529719919,21,849.78021978022,480.684367616045,42,524.437367865131,-0.0332887710289268
"209",681188,700.714285714286,214.604762485907,15,777.564444444444,299.032112159487,27,272.474685237433,0.282045132608161
"210",681194,795.087912087912,465.958567155924,14,956.83850931677,361.556629350484,28,398.498818069598,0.405899816748285
"211",681197,484.952380952381,79.4043299766935,21,611.046428571429,242.695446042188,42,204.09918888423,0.617807686098014
"212",681208,556.142857142857,87.9814103741726,21,651.383275261324,204.698718595765,42,175.21783877918,0.543554348016441
"213",681210,491,83.9450369632966,14,580.243386243386,239.388335618628,28,202.416089480118,0.440890773419234
"214",681219,516.047619047619,98.6399899586756,21,530.571428571429,165.909487938916,42,147.279217263085,0.0986141140189907
"215",681285,585.214285714286,112.970505729749,14,716.857142857143,226.579348260606,28,196.979807703371,0.66830635422843
"216",681286,593.428571428571,117.073725245493,21,831.195488721805,435.30278325787,42,363.118419478787,0.654791672740035
"217",681287,1937.38095238095,338.764442672261,21,1974.02380952381,559.290599803927,42,497.868768155274,0.0735994291801595
"218",681297,500.571428571429,104.426323993795,21,761.31512605042,425.593059440955,42,354.002979631666,0.736557917535867
"219",681299,551.733333333333,78.9117650712913,15,664.37037037037,213.416376732316,27,178.282726983689,0.63178883867612
"220",681323,585.271428571429,256.923076314404,21,630.421245421245,204.86680578418,42,223.27576404703,0.20221548470575
"221",681324,545.428571428571,127.363631015665,14,585.107142857143,216.681083158964,28,192.259467071381,0.206380325676445
"222",681325,555.928571428571,79.2158339705412,14,689.626373626374,303.533514163748,28,253.434260338232,0.527544310778542
"223",681335,697.923076923077,450.013603782979,13,670.379310344828,216.656972752701,29,305.960526484346,-0.0900239220226945
"224",681336,661.384615384615,207.766109869383,13,725.231162196679,282.250789888406,29,262.137145017484,0.243561616602659
"225",681337,816.071428571429,244.74239653019,14,983.857142857143,369.927391703122,28,334.422425875675,0.501717891216094
"226",681339,964.380952380952,452.884474915014,21,1077.07142857143,468.652577797198,42,463.541812677046,0.243107467565151
"227",681340,568.857142857143,175.087202763162,21,655.703296703297,222.274287804572,42,207.986080524509,0.417557528980503
"228",681341,614.666666666667,122.217409717664,15,725.722222222222,277.615891716114,27,235.210251689845,0.472154401254571
"229",681344,550.769230769231,160.277443747893,13,720.799734748011,279.349050565621,29,249.663337574116,0.681039137067146
"230",681345,563.5,77.4047802141444,14,731.798941798942,222.228040488206,28,187.835876061999,0.895989335622929
"231",681762,687.384615384615,245.678834545408,13,857.915119363395,419.955492823957,29,376.246273191092,0.45324170929972
"232",681763,541.78021978022,231.680588702941,14,610.965714285714,262.56873204481,28,252.944153502722,0.273520828797294
"233",681764,524.071428571429,181.365396762605,21,644.796428571429,397.875861897698,42,342.325255256484,0.352661681094922
"234",681765,512.935064935065,262.00645529716,14,536.968944099379,291.61127937079,28,282.330422862345,0.0851267777685865
"235",681772,618.857142857143,229.5671033599,14,557.178571428571,78.9838490623141,28,146.078046042909,-0.422230260462643
"236",681773,759.48051948052,343.134458694047,14,648.605714285714,341.739621169756,28,342.193567003679,-0.324011950796297
"237",681774,640.714285714286,250.577760955984,21,638.309523809524,149.884262356682,42,188.908046930669,-0.012729801317804
"238",681783,678.5,149.432644976308,14,721.535714285714,203.271845373857,28,187.477762967086,0.229551033704567
"239",681784,500.8,80.7962163187644,15,544.222222222222,283.863636456951,27,233.796656662722,0.185726446400231
"240",681785,723.071428571429,245.546005178949,14,726.984126984127,388.202291853555,28,348.307854217392,0.0112334487015512
"241",681787,606.403846153846,180.720304685558,13,684.827586206897,395.586460566146,29,345.456222994996,0.227014987233813
"242",681788,701.230769230769,276.545050281441,15,637.814814814815,302.904787914141,27,293.947885762357,-0.215738766929671
"243",681789,671,455.9262158351,15,578.404444444444,200.131074997081,27,314.30580756115,-0.294603387299932
"244",681873,558.214285714286,86.1672600428765,14,720.910052910053,284.654019878037,28,238.970497919014,0.680819467727369
"245",681874,538.238095238095,148.601784902438,21,601.017421602787,153.578185395873,42,151.964535861349,0.413118271370706
"246",681875,771.703296703297,340.540679439827,14,788.28021978022,331.005190444102,28,334.134074187245,0.049611591147192
"247",681893,657.466666666667,365.692663051262,15,805.149758454106,541.310201890862,27,487.10037042643,0.303188214901481
"248",681896,548.047619047619,209.957013741022,21,576,116.968622017126,42,153.782204537699,0.181766030968353
"249",681899,508.538461538462,117.468162626174,13,720.527458492976,591.298759239645,29,498.88233747455,0.424927845767497
"250",681912,534.714285714286,90.8264859468346,14,663.94708994709,237.719068392021,28,202.053362693278,0.639597394025967
"251",681914,666.538461538462,299.075970110331,13,602.448275862069,99.6918775194336,29,183.822904121264,-0.348651796046664
"252",681916,561.142857142857,67.0807615596944,21,649.993031358885,251.191165140652,42,209.487024938086,0.42413211148656
