"referrer","partgender","anch1_n","anch1_m","anch1_sd","anch2_n","anch2_m","anch2_sd","anch3_n","anch3_m","anch3_sd","anch4_n","anch4_m","anch4_sd"
"uva     ",0,21,3457.42857142857,1329.811587084,21,2312714.28571429,1535168.62731288,23,21630.8260869565,13301.1541285032,23,11158.6086956522,12909.7901494779
"uva     ",1,56,3516.33928571429,1151.74860383183,54,1834432.27777778,1443253.54116805,53,20668.9245283019,15096.4588879556,52,15582.4615384615,15116.7767021028
"vcu     ",0,23,3562.65217391304,1094.06662622013,23,2158031.65217391,1723334.36795361,22,19583.4090909091,16499.8379058678,23,18786,18877.0230414939
"vcu     ",1,67,3675.88059701493,1178.23944835,76,1624197.61842105,1532909.23092127,77,20555.5324675325,16783.9713704102,73,16441.8630136986,16962.6208104394
"wisc    ",0,16,3744.3125,1116.72925508678,14,2047189.28571429,1411354.90877746,16,16534,14217.9090633375,15,12786.9333333333,16934.081039079
"wisc    ",1,72,3761.54166666667,1216.99493601895,74,1796867.87837838,1425235.34662484,75,24410.48,16821.4543192655,73,14076.6438356164,13949.5939858974
"wku     ",0,23,3528.82608695652,1338.15397443214,23,1777898.26086957,1496752.34694959,28,20245.4642857143,15372.5761630107,25,25337.04,15967.9564244562
"wku     ",1,61,3371.98360655738,1252.65014391893,63,1577239.93650794,1514197.17463363,70,22117.8571428571,17229.4785215404,66,19322.5606060606,18678.7150390934
"wl      ",0,13,3688.23076923077,1207.73577089846,11,2177272.72727273,1300262.21131809,13,22081.6923076923,12109.1361609366,12,10529.1666666667,15160.1519891238
"wl      ",1,68,3478.13235294118,974.246496505166,62,2115462.90322581,1275158.09501794,73,21839.2191780822,14899.6201352087,71,15705.5492957746,14499.6711339935
"wpi     ",0,39,3191.41025641026,1010.28004762486,40,1822477.325,1423315.1592206,41,21811.2195121951,14176.9767290353,40,14411.925,13672.7767524536
"wpi     ",1,40,3427,987.735560998762,37,1966661.05405405,1565035.57134885,42,20430.2619047619,14931.7231391873,40,13701.125,16765.376389953
